User	Text	Date	Retweet Count	Reply To
FiannaFool	Michael Healy-Rae sounds like,sounds like, Jasus he sounds like Oul' Time @fiannafailparty . I feckin miss him. #vinb	2015-06-24 22:51:11	1	None
TClarifier	Healy Rae is fooling nobody. His aul boy was a Fianna Failer and no amount of cap wearing can hide that #vinb	2015-06-24 22:51:11	0	None
davemcginn_ie	I fear there may be Healy Raes in the Dáil for as long as Kerry is attached the island. #vinb	2015-06-24 22:51:08	0	None
cliffordd85	Yaaaaa the music is back #vinb	2015-06-24 22:51:03	0	None
linfar4563	#Vinb i dont trust any politician but i have studied michael healy raeTD and i would trust him he fights for his ppl of kerry unlike enda,	2015-06-24 22:50:25	0	None
cncpinky	#vinb @MichaelHealyRae he's a super speaker &amp; fine example of how a politician should be &amp; im a dub !!	2015-06-24 22:50:09	0	None
djpr1000	none of them would get a summer job in a hole #vinb ticks not politics	2015-06-24 22:49:53	1	None
Vallmeister	@oconne10 That would be @SpringAJ that you should ask. The Labour TD for Kerry. #vinb @LaceyDermot	2015-06-24 22:49:43	0	oconne10
LuddLite	Politicians talking bollocks. Welcome to #VinB	2015-06-24 22:49:39	0	None
FerrisMartin	@Evanis editing had nothing to do with me but that segment  wasn't really relevant at a people's debate. #vinb	2015-06-24 22:49:21	0	Evanis
ReclaimTheVoice	When an audience applauds a man for an achievement of 5 years ago...becoming a father....   there is something, intrisincally curious #vinb	2015-06-24 22:49:12	1	None
ger_mccann	#vinb Your man from fg pleadin for his job, sure you'll be alright on jobsbridge son!	2015-06-24 22:49:05	5	None
lucymoylan	@dmconeill Bhuel, an raibh tú ag breathnú ar #vinb i gCiarraí? Agus?	2015-06-24 22:48:47	0	dmconeill
SULO4	Who cares about your pampered kids, Brendan Griffin? #VINB	2015-06-24 22:48:46	1	None
strumpetcity	Very little about the savage attack on lone parents incomes.....those who are squeezed already in this country and @labour owns this #vinb	2015-06-24 22:48:41	3	None
PPLimages	#vinb #PeoplesDebate #IrishWater #Siteserv #Austerity #TomFleming IND TD #Kerry: Not a gr8 speaker but I've cn him in #Right2Water #protests	2015-06-24 22:48:40	0	None
geraghty040	Jasus get the rant on #vinb	2015-06-24 22:48:38	0	None
tnteacherTim	".... and so, I'm leaving Fine Gael....." #vinb  For my children..... Oh, wait....	2015-06-24 22:48:35	1	None
RayMcGrath	Young centre-right politicians are, with no exceptions whatsoever, a thoroughly depressing species. #vinb #PeoplesDebate	2015-06-24 22:48:31	1	None
KevoRiordan	#government #inequality #Irishwater #WaterCharges #vinb #PeoplesDebate #Protest #FG #Lab #LoneParents http://t.co/b0LhuX3Rzr	2015-06-24 22:48:23	1	None
R2WKillarney	#vinb if the people of Kerry vote Griffin or FF back in , we will see even more austerity and privatization.	2015-06-24 22:48:21	6	None
GCraughwell	Anyone looking at that woman with cancer on #vinb tonight must surely wonder where is Ireland going #inequality rich are not suffering	2015-06-24 22:48:17	12	None
MrsSharonWhite	#vinb they'll emigrate....prepare to carry their suitcases to the airport.	2015-06-24 22:48:17	0	None
ATMH1994	There's Brendan Griffin re-elected then. He's quite impressive for a Fine Gael backbencher. #vinb	2015-06-24 22:48:08	0	None
ColletteFlores	#vinb I bet your kids won't suffer.  Now do something!!  Or is this is an emotional show for us all@.	2015-06-24 22:48:05	0	None
AnnetteLawson	Is Griffin going to cry? #vinb	2015-06-24 22:47:59	0	None
nmaher36	Back too Ukrainian debate.. #vinb http://t.co/C8V3hTcSdy	2015-06-24 22:47:48	0	None
ATMH1994	Snuck in the daddy line, crafty hoer #vinb	2015-06-24 22:47:30	0	None
cncpinky	Beautiful evening in #dunlaoghaire @romclaughlin #vinb @SvtigerStephane @mrbobdaly http://t.co/YK3DgtL5Gd	2015-06-24 22:47:25	3	None
williamhboney1	Speaking Irish fools nobody, blueshirts speak neo lib no matter what tongue they use.  #vinb	2015-06-24 22:47:11	6	None
NicoWDC2015	Another backbencher I haven't seen before #vinb	2015-06-24 22:47:10	0	None
djpr1000	@BillGatesFeed lol take a look at #vinb and see the botes. thanks for sharing	2015-06-24 22:46:54	0	BillGatesFeed
Anthony_Lawless	Fleming has hardly said a word all night on #vinb, and now the fecker won't shut the hell up when the gig is nearly over.	2015-06-24 22:46:46	0	None
joyofhazel	Disappointed that abysmal Mid-Kerry water supply &amp; privatisation of health service not discussed in #vinb #PeoplesDebate. Good show though.	2015-06-24 22:46:18	2	None
HangBlaa	FF rep in South Kerry, where John O'Donohue spent 1/2 his annual sports budget, complains Mayo now gets more than Kerry. #vinb	2015-06-24 22:46:14	4	None
JimmyMoloney	#vinb edits out segment/row that took up 20 minutes of the 90 min recording time...	2015-06-24 22:46:01	0	None
ATMH1994	This has definitely been the most Country &amp; Western debate yet #vinb	2015-06-24 22:45:53	0	None
gallmacmorna	@gallmacmorna  Pretty raw issues well presented here but no prospect of solutions unfortunately #vinb	2015-06-24 22:45:53	0	gallmacmorna
ShaneSmith_	Martin Ferris on #vinb wants more money in everyone's pockets. Doesn't say whose money tho. Populist shite.	2015-06-24 22:45:51	0	None
MajorBondHolder	Gardai say they can stay coz they've been there before closing &amp; any1 who leaves &amp; tries to return will be charged with trespassing. #vinb	2015-06-24 22:45:43	0	None
davemcginn_ie	Is he still talking? Losing the will to live here #vinb	2015-06-24 22:45:43	0	None
agmha	This Fleming guy is very poor  #vinb	2015-06-24 22:45:09	0	None
bettercallkiwi	Himself just pointed out that I'm celebrating exam results by surfing, drinking Scotch, and watching #vinb and I'm like "and?😳"	2015-06-24 22:45:07	0	None
FerrisMartin	@Evanis it was mild compared to other debates I have had with #vinb	2015-06-24 22:45:01	0	Evanis
marktwomey77	@breandanfitz were you in kilarney for vinb tonight	2015-06-24 22:44:58	0	breandanfitz
davemcginn_ie	Wow this guy is articulate.... #vinb	2015-06-24 22:44:41	0	None
DougalCMK	It's all talk, it always just talk, nothing ever changes. The country's run by Golden Circle &amp; as long as they are OK, they don't care #vinb	2015-06-24 22:44:40	4	None
IERepublican	Where was the equality and justice for the 2,000+ murdered by Provos ? #vinb where was the justice for Provo rape victims ?	2015-06-24 22:44:40	0	None
nmaher36	What's with the " cases" and kerry #vinb	2015-06-24 22:44:35	0	None
DjohnBarry	#vinb so sinn féin want to get into government to get us out of this recovery M Ferris Freudian slip	2015-06-24 22:44:28	0	None
thesecondgoing	I LOVE this Man. January 21st IS OUR RIGHTFUL &amp; TRUE Independence day! #Irb #Tipperary. #Peoplesdebate #VinB #Eire ☺(My Family died Irb)	2015-06-24 22:44:18	1	None
Disildoforus	every issue here has been brought before government already .... government dont care, and never will! #vinb	2015-06-24 22:43:53	7	None
Ballymunsaysno	#inequality #Protest #austerity #LoneParents #not1pipe #PeoplesDebate #VinB #corruption #irishwater #government http://t.co/SXuiSPWFEe	2015-06-24 22:43:43	12	None
TheRavenxx	I want to see candidates for next GE state categorically that they will abolish #Irishwater . Otherwise no vote from me. #vinb	2015-06-24 22:43:36	11	None
davemcginn_ie	Martin Ferris using his closing remarks to hit every single populist point he could think of. Ugh. #vinb	2015-06-24 22:43:33	0	None
ReclaimTheVoice	Looks like there's another opportunity for a good ol 'booze up' next January 21st.......  #Indeirependanceday  #vinb	2015-06-24 22:43:27	0	None
MayoWeather	#VinB http://t.co/MoUrg6GzJy	2015-06-24 22:43:25	0	None
Anthony_Lawless	Woman dying of cancer trying to make a claim for decent healthcare and this patronising muppet prattling on about Independence Day. #vinb	2015-06-24 22:43:21	0	None
SeosamhMagAodha	I keep hearing that the 1919 constitution was never rescinded. That's a huge thing. Shame #vinb didn't let that man finish.	2015-06-24 22:43:17	1	None
Ihatebankers	Martin Farris's " we don't have independence yet " is such a stupid comment. #vinb	2015-06-24 22:43:12	1	None
thegubugazzette	That man on #vinb just there is right - our Ind Day is Jan 21st &amp; he wasn't given a chance, but we have a provisional gov - all supressed	2015-06-24 22:42:58	0	None
MajorBondHolder	BREAKING NEWS South Dublin County Council is being occupied for the night by a homeless couple. Gardai on scene. #vinb The Face of Ireland.	2015-06-24 22:42:56	17	None
djpr1000	fluffy shit #vinb	2015-06-24 22:42:46	0	None
TonightWithVinB	Join us off the back of our debate tonight for a preview of tomorrow mornings newspapers #PeoplesDebate #VinB	2015-06-24 22:42:42	1	None
MartinaGrey1	#vinb https://t.co/NZT1crJyJd	2015-06-24 22:42:30	0	None
RayMcGrath	If I go asleep now, can someone wake me up in 2017? #vinb #PeoplesDebate	2015-06-24 22:42:27	0	None
Ballymunsaysno	#vinb #PeoplesDebate #not1pipe #WaterCharges #government #Burtoncut #Lab #FG #LoneParents #cuts #austerity #Protest http://t.co/CIeKgVLVfb	2015-06-24 22:42:23	21	None
PaddyJoeMcGilly	Has the confrontation between #vinb and Martin Ferris over the 1985 murder of John Corcoran been edited out?	2015-06-24 22:42:20	5	None
Samarkandiana	#VINB There's onions-ology for you!  Independence Day Man.	2015-06-24 22:42:09	0	None
nmaher36	I loved that movie, apparently making sequel  #vinb	2015-06-24 22:41:49	0	None
Vallmeister	@LaceyDermot Martin Ferris &amp; Brendan Griffin? I didn't know them. #vinb	2015-06-24 22:41:48	0	LaceyDermot
micrabam	Watching #vinb I think Dublin should declare UDI. QUICKLY.	2015-06-24 22:41:47	0	None
36kerry36	#vinb @TonightWithVinB TV3 could devote a lot more time to historical documentary, enough with the crime specials.	2015-06-24 22:41:34	0	None
antoinetteoco	"They can post the cheques out to us" 😂😂 legend #vinb #PeoplesDebate	2015-06-24 22:41:17	1	None
SULO4	Independence Day my eye! Ireland is not sovereign! Bleating on about the past is not going to help the future #VINB	2015-06-24 22:40:56	3	None
Furious_Dave	Hardcore irishman #vinb	2015-06-24 22:40:54	0	None
Cunionsandphey	We became a Republic in 1949. The Year we beat #Eng in Goodison Pk. #VinB #PeoplesDebate	2015-06-24 22:40:51	0	None
MPGillick	#vinb Ferris saying we don't have independence, so neck. Healy-Rae didn't know. 2 absolutes wastes of space.	2015-06-24 22:40:50	0	None
djpr1000	Let him finish @TonightWithVinB #vinb	2015-06-24 22:40:47	0	None
ReclaimTheVoice	Wouldn't it be intriguing, if Ireland for one moment, sought to look forward to a history that beckons....?  #vinb	2015-06-24 22:40:43	0	None
TheRavenxx	Michael Healy-Rae is hilarious. #vinb	2015-06-24 22:40:32	0	None
Ballymunsaysno	#austerity  #FG #Lab #IrishWater #LoneParents #Burtoncut #government #WaterCharges #PeoplesDebate #not1pipe #VinB http://t.co/W62X2RD34L	2015-06-24 22:40:32	5	None
PPLimages	#vinb #PeoplesDebate @FerrisMartin is coming across well	2015-06-24 22:40:31	0	None
davemcginn_ie	"I'll tell you the day that I celebrate our Independence Day – EVERY day" - Michael Healy Rae  Jesus fucking christ *throws up* #vinb	2015-06-24 22:40:31	1	None
Craicthewhips	Do Fine Gael even recognise the 1919 Dail? #vinb	2015-06-24 22:40:27	0	None
paulmcguinness6	Local shinner shows support for local independent #dubw #vinb #appreciated  https://t.co/sd4VZtlBf7	2015-06-24 22:40:22	0	None
FCTwenteBenson	21st of January, can't we just move it to July? With the weather an all that #vinb	2015-06-24 22:40:14	0	None
Gion_Gion	#PeoplesDebate Cracking point by yer man Mr Beale. 21st January 1919 - Independence Day! #VinB	2015-06-24 22:40:14	2	None
tahitibrowne	The health insurance industry relies on/depends on/ insists on an underfunded inadequate Public Health Service to attract customers #vinb	2015-06-24 22:40:09	1	None
ros_cox	#vinb Healy Rae glorified councillor on TD wages!!	2015-06-24 22:40:09	0	None
williamhboney1	Damn sure we need an Independence Day in January, horrible month, another bank holiday would be more than welcome. #PeoplesDebate #vinb	2015-06-24 22:40:06	5	None
MrsSharonWhite	#vinb so we don't celebrate an independence day 21st Jan 1918. Instead we have a parade world wide on 17th March?	2015-06-24 22:39:59	0	None
ATMH1994	No Ferris vs Vinny scrap? The only reason I was watching. #vinb	2015-06-24 22:39:47	0	None
cliffordd85	Ferris just got out Republicaned???? #vinb	2015-06-24 22:39:35	0	None
nmaher36	Fighting cases? Baggage handler @ Kerry international  #vinb	2015-06-24 22:39:19	0	None
Ihatebankers	No money should be wasted celebrating this 1916 nonsense. We have paddies day and that's enough #vinb	2015-06-24 22:39:17	0	None
Cunionsandphey	We don't have Independence says a Shinner. Unsurprisingly. #VinB #PeoplesDebate	2015-06-24 22:39:05	1	None
kentfelix	#vinb We dont have sovereignty or Independence...fuck sake, what kind of arse holes still believe we are in some way sovereign..	2015-06-24 22:39:00	1	None
Ballymunsaysno	#vinb #not1pipe #PeoplesDebate #WaterCharges #government #Burtoncut #LoneParents #irishwater #BallyheaSaysNo http://t.co/EEAkBbfDep	2015-06-24 22:38:56	12	None
36kerry36	#vinb Great question!!!!	2015-06-24 22:38:23	0	None
Cunionsandphey	Irelands Independence Day. Isn't it supposed be the day after #GE16? Or is that Independents Day? #VinB #PeoplesDebate	2015-06-24 22:38:22	1	None
LimerickBorn	What the fuck had Kerry to do with 1916? Have I missed something, did something actually happen there in 1916  #vinb	2015-06-24 22:38:20	0	None
bearaboi	@RosemaryMacCabe it's given me friends, laughs and commentary on everything from #VinB, World Cups to #RoyalBaby.	2015-06-24 22:38:11	0	RosemaryMacCabe
IERepublican	Man and women of 1916 wore uniforms, completely different to balaclava wearing thugs who raped and murdered children #vinb	2015-06-24 22:38:11	0	None
dkcork14	Kerry will be in safe hands Johnny Healy Rae up Kerry! #vinb	2015-06-24 22:37:53	0	None
